"Part Suitability","Product (WPN)","Datasheet","OPN","Price","Description","Vi(on) Min (V)","Vi(off) Max (V)","R1 (kΩ)","R2 (kΩ)","IC Continuous (A)","Configuration","Polarity","Package Type","V(BR)CEO Min (V)","hFE Min","R1/R2 Typ","Qualification","AEC Qualified","PPAP Capable","Halide Free","Lead Free","Status"
"100","NSBC144EDXV6","https://www.onsemi.com/download/data-sheet/pdf/DTC144ED-D.PDF","NSVBC144EDXV6T1G","0.05","Dual NPN Bipolar Digital Transistor (BRT), AECQ101 Dual SOT-563 NPN BRT 47kR / 47kR","3","0.8","47","47","0.1","Dual","NPN","SOT-563","50","80","1","Automotive","true","true","true","true","Active"
"98","MUN2236","https://www.onsemi.com/download/data-sheet/pdf/DTC115E-D.PDF","NSVMUN2236T1G","0.02","NPN Bipolar Digital Transistor (BRT)","3","0.5","100","100","0.1","Single","NPN","SC-59-3","50","80","1","Automotive","true","true","true","true","Active"
"97","MMUN2136L","https://www.onsemi.com/download/data-sheet/pdf/DTA115E-D.PDF","NSVMMUN2136LT1G","0.03","PNP Bipolar Digital Transistor (BRT)","3","0.5","100","100","0.1","Single","PNP","SOT-23-3","50","80","1","Automotive","true","true","true","true","Active"
"96","MUN5336DW1","https://www.onsemi.com/download/data-sheet/pdf/DTC115EP-D.PDF","NSVMUN5336DW1T1G","0.10","Complementary NPN+PNP Bipolar Digital Transistor (BRT)","3","0.5","100","100","0.1","Complementary","NPN+PNP","SC-88-6 / SC-70-6 / SOT-363-6","50","80","1","Automotive","true","true","true","true","Active"
"96","MMUN2236L","https://www.onsemi.com/download/data-sheet/pdf/DTC115E-D.PDF","NSVMMUN2236LT1G","0.03","NPN Bipolar Digital Transistor (BRT)","3","0.5","100","100","0.1","Single","NPN","SOT-23-3","50","80","1","Automotive","true","true","true","true","Active"
"96","MUN2132","https://www.onsemi.com/download/data-sheet/pdf/DTA143E-D.PDF","NSVMUN2132T1G","0.02","PNP Bipolar Digital Transistor (BRT)","3","0.5","4.7","4.7","0.1","Single","PNP","SC-59-3","50","15","1","Automotive","true","true","true","true","Active"
"95","MUN5332DW1","https://www.onsemi.com/download/data-sheet/pdf/DTC143EP-D.PDF","NSVMUN5332DW1T3G","0.09","Complementary Bipolar Digital Transistor (BRT)","3","0.5","4.7","4.7","0.1","Complementary","NPN+PNP","SC-88-6 / SC-70-6 / SOT-363-6","50","15","1","Automotive","true","true","true","true","Active"
"95","DTA143EM3","https://www.onsemi.com/download/data-sheet/pdf/DTA143E-D.PDF","NSVDTA143EM3T5G","0.06","PNP Bipolar Digital Transistor (BRT)","3","0.5","4.7","4.7","0.1","Single","PNP","SOT-723-3","50","15","1","Automotive","true","true","true","true","Active"
"95","DTA115EE","https://www.onsemi.com/download/data-sheet/pdf/DTA115E-D.PDF","NSVDTA115EET1G","0.04","PNP Bipolar Digital Transistor (BRT), SS SC75 BR XSTR PNP 50V","3","0.5","100","100","0.1","Single","PNP","SC-75-3","50","80","1","Automotive","true","true","true","true","Active"
"95","MUN5236","https://www.onsemi.com/download/data-sheet/pdf/DTC115E-D.PDF","NSVMUN5236T1G","0.03","NPN Bipolar Digital Transistor (BRT)","3","0.5","100","100","0.1","Single","NPN","SC-70-3 / SOT-323-3","50","80","1","Automotive","true","true","true","true","Active"
"94","MUN5332DW1","https://www.onsemi.com/download/data-sheet/pdf/DTC143EP-D.PDF","NSVMUN5332DW1T1G","0.09","Complementary Bipolar Digital Transistor (BRT)","3","0.5","4.7","4.7","0.1","Complementary","NPN+PNP","SC-88-6 / SC-70-6 / SOT-363-6","50","15","1","Automotive","true","true","true","true","Active"
"94","MMUN2132L","https://www.onsemi.com/download/data-sheet/pdf/DTA143E-D.PDF","NSVMMUN2132LT1G","0.03","PNP Bipolar Digital Transistor (BRT)","3","0.5","4.7","4.7","0.1","Single","PNP","SOT-23-3","50","15","1","Automotive","true","true","true","true","Active"
"94","MUN5132","https://www.onsemi.com/download/data-sheet/pdf/DTA143E-D.PDF","NSVMUN5132T1G","0.03","PNP Bipolar Digital Transistor (BRT)","3","0.5","4.7","4.7","0.1","Single","PNP","SC-70-3 / SOT-323-3","50","15","1","Automotive","true","true","true","true","Active"
"94","MMUN2217L","https://www.onsemi.com/download/data-sheet/pdf/DTC143X-D.PDF","NSVMMUN2217LT1G","0.03","NPN Bipolar Digital Transistor (BRT)","2.5","0.3","4.7","10","0.1","Single","NPN","SOT-23-3","50","35","0.47","Automotive","true","true","true","true","Active"
"93","MMUN2232L","https://www.onsemi.com/download/data-sheet/pdf/DTC143E-D.PDF","NSVMMUN2232LT3G","0.03","NPN Bipolar Digital Transistor (BRT)","2.5","0.5","4.7","4.7","0.1","Single","NPN","SOT-23-3","50","15","1","Automotive","true","true","true","true","Active"
"92","MUN2232","https://www.onsemi.com/download/data-sheet/pdf/DTC143E-D.PDF","SMUN2232T1G","0.02","NPN Bipolar Digital Transistor (BRT)","2.5","0.5","4.7","4.7","0.1","Single","NPN","SC-59-3","50","15","1","Automotive","true","true","true","true","Active"
"92","MUN5232","https://www.onsemi.com/download/data-sheet/pdf/DTC143E-D.PDF","SMUN5232T1G","0.03","NPN Bipolar Digital Transistor (BRT)","2.5","0.5","4.7","4.7","0.1","Single","NPN","SC-70-3 / SOT-323-3","50","15","1","Automotive","true","true","true","true","Active"
"92","MUN5232DW1","https://www.onsemi.com/download/data-sheet/pdf/DTC143ED-D.PDF","SMUN5232DW1T1G","0.09","Dual NPN Bipolar Digital Transistor (BRT)","2.5","0.5","4.7","4.7","0.1","Dual","NPN","SC-88-6 / SC-70-6 / SOT-363-6","50","15","1","Automotive","true","true","true","true","Active"
"92","MMUN2232L","https://www.onsemi.com/download/data-sheet/pdf/DTC143E-D.PDF","NSVMMUN2232LT1G","0.03","NPN Bipolar Digital Transistor (BRT)","2.5","0.5","4.7","4.7","0.1","Single","NPN","SOT-23-3","50","15","1","Automotive","true","true","true","true","Active"
"92","NSBC115EPDXV6","https://www.onsemi.com/download/data-sheet/pdf/DTC115EP-D.PDF","NSBC115EPDXV6T1G","0.05","Complementary Bias Resistor Transistors R1 = 100 kΩ, R2 = 100 kΩ","3","0.5","100","100","0.1","Complementary","NPN+PNP","SOT-563","50","80","1","Standard","false","false","true","true","Active"
"91","MMUN2231L","https://www.onsemi.com/download/data-sheet/pdf/DTC123E-D.PDF","NSVMMUN2231LT1G","0.03","NPN Bipolar Digital Transistor (BRT)","2","0.5","2.2","2.2","0.1","Single","NPN","SOT-23-3","50","8","1","Automotive","true","true","true","true","Active"
"91","NSBC144EPDXV6","https://www.onsemi.com/download/data-sheet/pdf/DTC144EP-D.PDF","NSVBC144EPDXV6T1G","0.09","Complementary Bipolar Digital Transistor (BRT)","3","0.8","47","47","0.1","Complementary","NPN+PNP","SOT-563","50","80","1","Automotive","true","true","true","true","Active"
"91","DTC144EM3","https://www.onsemi.com/download/data-sheet/pdf/DTC144E-D.PDF","NSVDTC144EM3T5G","0.04","NPN Bipolar Digital Transistor (BRT), SS SOT723 BR XSTR NPN","3","0.8","47","47","0.1","Single","NPN","SOT-723-3","50","80","1","Automotive","true","true","true","true","Active"
"91","DTA113EM3","https://www.onsemi.com/download/data-sheet/pdf/DTA113E-D.PDF","NSVDTA113EM3T5G","0.04","PNP Bipolar Digital Transistor (BRT)","2","0.5","1","1","0.1","Single","PNP","SOT-723-3","50","3","1","Automotive","true","true","true","true","Active"
"91","DTA123EM3","https://www.onsemi.com/download/data-sheet/pdf/DTA123E-D.PDF","NSVDTA123EM3T5G","0.04","PNP Bipolar Digital Transistor (BRT)","2","0.5","2.2","2.2","0.1","Single","PNP","SOT-723-3","50","8","1","Automotive","true","true","true","true","Active"
"91","DTC113EM3","https://www.onsemi.com/download/data-sheet/pdf/DTC113E-D.PDF","NSVDTC113EM3T5G","0.04","NPN Bipolar Digital Transistor (BRT)","2","0.5","1","1","0.1","Single","NPN","SOT-723-3","50","3","1","Automotive","true","true","true","true","Active"
"91","DTC123EM3","https://www.onsemi.com/download/data-sheet/pdf/DTC123E-D.PDF","NSVDTC123EM3T5G","0.04","NPN Bipolar Digital Transistor (BRT)","2","0.5","2.2","2.2","0.1","Single","NPN","SOT-723-3","50","8","1","Automotive","true","true","true","true","Active"
"91","MUN5113DW1","https://www.onsemi.com/download/data-sheet/pdf/DTA144ED-D.PDF","NSVMUN5113DW1T3G","0.09","Dual PNP Bipolar Digital Transistor (BRT)","3","0.8","47","47","0.1","Dual","PNP","SC-88-6 / SC-70-6 / SOT-363-6","50","80","1","Automotive","true","true","true","true","Active"
"91","MUN5213DW1","https://www.onsemi.com/download/data-sheet/pdf/DTC144ED-D.PDF","NSVMUN5213DW1T3G","0.09","Dual NPN Bipolar Digital Transistor (BRT)","3","0.8","47","47","0.1","Dual","NPN","SC-88-6 / SC-70-6 / SOT-363-6","50","80","1","Automotive","true","true","true","true","Active"
"91","MUN5331DW1","https://www.onsemi.com/download/data-sheet/pdf/DTC123EP-D.PDF","NSVMUN5331DW1T1G","0.09","Complementary Bipolar Digital Transistor (BRT)","2","0.5","2.2","2.2","0.1","Complementary","NPN+PNP","SC-88-6 / SC-70-6 / SOT-363-6","50","8","1","Automotive","true","true","true","true","Active"
"90","MMUN2230L","https://www.onsemi.com/download/data-sheet/pdf/DTC113E-D.PDF","NSVMMUN2230LT1G","0.03","NPN Bipolar Digital Transistor (BRT)","2","0.5","1","1","0.1","Single","NPN","SOT-23-3","50","3","1","Automotive","true","true","true","true","Active"
"90","DTC144TM3","https://www.onsemi.com/download/data-sheet/pdf/DTC144T-D.PDF","NSVDTC144TM3T5G","0.04","NPN Bipolar Digital Transistor (BRT)","4","0.5","47","","0.1","Single","NPN","SOT-723-3","50","160","","Automotive","true","true","true","true","Active"
"90","DTC144EE","https://www.onsemi.com/download/data-sheet/pdf/DTC144E-D.PDF","SDTC144EET1G","0.04","NPN Bipolar Digital Transistor (BRT)","3","0.8","47","47","0.1","Single","NPN","SC-75-3","50","80","1","Automotive","true","true","true","true","Active"
"90","MMUN2131L","https://www.onsemi.com/download/data-sheet/pdf/DTA123E-D.PDF","NSVMMUN2131LT1G","0.03","PNP Bipolar Digital Transistor (BRT)","2","0.5","2.2","2.2","0.1","Single","PNP","SOT-23-3","50","8","1","Automotive","true","true","true","true","Active"
"90","MUN5313DW1","https://www.onsemi.com/download/data-sheet/pdf/DTC144EP-D.PDF","SMUN5313DW1T3G","0.09","Complementary Bipolar Digital Transistor (BRT)","3","0.8","47","47","0.1","Complementary","NPN+PNP","SC-88-6 / SC-70-6 / SOT-363-6","50","80","1","Automotive","true","true","true","true","Active"
"90","MUN5336DW1","https://www.onsemi.com/download/data-sheet/pdf/DTC115EP-D.PDF","MUN5336DW1T1G","0.04","Complementary NPN+PNP Bipolar Digital Transistor (BRT)","3","0.5","100","100","0.1","Complementary","NPN+PNP","SC-88-6 / SC-70-6 / SOT-363-6","50","80","1","Standard","false","false","true","true","Active"
"90","NSBC124XDXV6","https://www.onsemi.com/download/data-sheet/pdf/DTC124XD-D.PDF","NSVBC124XDXV6T1G","0.09","Dual NPN Bipolar Digital Transistor (BRT)","2","0.5","22","47","0.1","Dual","NPN","SOT-563","50","80","0.47","Automotive","true","true","true","true","Active"
"90","MUN5231DW1","https://www.onsemi.com/download/data-sheet/pdf/DTC123ED-D.PDF","SMUN5231DW1T1G","0.09","Dual NPN Bias Resistor Transistor (BRT)","2","0.5","2.2","2.2","0.1","Dual","NPN","SC-88-6 / SC-70-6 / SOT-363-6","50","8","1","Automotive","true","true","true","true","Active"
"90","MUN5131DW1","https://www.onsemi.com/download/data-sheet/pdf/DTA123ED-D.PDF","SMUN5131DW1T1G","0.09","Dual PNP Bipolar Digital Transistor (BRT)","2","0.5","2.2","2.2","0.1","Dual","PNP","SC-88-6 / SC-70-6 / SOT-363-6","50","8","1","Automotive","true","true","true","true","Active"
"90","MMUN2136L","https://www.onsemi.com/download/data-sheet/pdf/DTA115E-D.PDF","MMUN2136LT1G","0.02","PNP Bipolar Digital Transistor (BRT)","3","0.5","100","100","0.1","Single","PNP","SOT-23-3","50","80","1","Standard","false","false","true","true","Active"
"90","MMUN2236L","https://www.onsemi.com/download/data-sheet/pdf/DTC115E-D.PDF","MMUN2236LT1G","0.02","NPN Bipolar Digital Transistor (BRT)","3","0.5","100","100","0.1","Single","NPN","SOT-23-3","50","80","1","Standard","false","false","true","true","Active"
"90","MUN5131","https://www.onsemi.com/download/data-sheet/pdf/DTA123E-D.PDF","NSVMUN5131T1G","0.03","PNP Bipolar Digital Transistor (BRT)","2","0.5","2.2","2.2","0.1","Single","PNP","SC-70-3 / SOT-323-3","50","8","1","Automotive","true","true","true","true","Active"
"90","MUN5113DW1","https://www.onsemi.com/download/data-sheet/pdf/DTA144ED-D.PDF","SMUN5113DW1T1G","0.09","Dual PNP Bipolar Digital Transistor (BRT)","3","0.8","47","47","0.1","Dual","PNP","SC-88-6 / SC-70-6 / SOT-363-6","50","80","1","Automotive","true","true","true","true","Active"
"90","MUN5213DW1","https://www.onsemi.com/download/data-sheet/pdf/DTC144ED-D.PDF","SMUN5213DW1T1G","0.09","Dual NPN Bipolar Digital Transistor (BRT)","3","0.8","47","47","0.1","Dual","NPN","SC-88-6 / SC-70-6 / SOT-363-6","50","80","1","Automotive","true","true","true","true","Active"
"90","MUN5313DW1","https://www.onsemi.com/download/data-sheet/pdf/DTC144EP-D.PDF","SMUN5313DW1T1G","0.09","Complementary Bipolar Digital Transistor (BRT)","3","0.8","47","47","0.1","Complementary","NPN+PNP","SC-88-6 / SC-70-6 / SOT-363-6","50","80","1","Automotive","true","true","true","true","Active"
"90","MUN2213","https://www.onsemi.com/download/data-sheet/pdf/DTC144E-D.PDF","SMUN2213T1G","0.02","NPN Bipolar Digital Transistor (BRT)","3","0.8","47","47","0.1","Single","NPN","SC-59-3","50","80","1","Automotive","true","true","true","true","Active"
"90","MMUN2213L","https://www.onsemi.com/download/data-sheet/pdf/DTC144E-D.PDF","SMMUN2213LT1G","0.03","NPN Bipolar Digital Transistor (BRT)","3","0.8","47","47","0.1","Single","NPN","SOT-23-3","50","80","1","Automotive","true","true","true","true","Active"
"90","MMUN2113L","https://www.onsemi.com/download/data-sheet/pdf/DTA144E-D.PDF","SMMUN2113LT1G","0.03","PNP Bipolar Digital Transistor (BRT)","3","0.8","47","47","0.1","Single","PNP","SOT-23-3","50","80","1","Automotive","true","true","true","true","Active"
"90","MUN5213","https://www.onsemi.com/download/data-sheet/pdf/DTC144E-D.PDF","SMUN5213T1G","0.03","NPN Bipolar Digital Transistor (BRT)","3","0.8","47","47","0.1","Single","NPN","SC-70-3 / SOT-323-3","50","80","1","Automotive","true","true","true","true","Active"
"90","MMUN2213L","https://www.onsemi.com/download/data-sheet/pdf/DTC144E-D.PDF","SMMUN2213LT3G","0.03","NPN Bipolar Digital Transistor (BRT)","3","0.8","47","47","0.1","Single","NPN","SOT-23-3","50","80","1","Automotive","true","true","true","true","Active"
"90","MUN5136","https://www.onsemi.com/download/data-sheet/pdf/DTA115E-D.PDF","MUN5136T1G","0.02","Bias Resistor Transistor","3","0.5","100","100","0.1","Single","PNP","SC-70-3 / SOT-323-3","50","80","1","Standard","false","false","true","true","Active"
"90","MUN2136","https://www.onsemi.com/download/data-sheet/pdf/DTA115E-D.PDF","MUN2136T1G","0.02","Small Signal Bias Resistor Transistor SC59 PNP 50V","3","0.5","100","100","0.1","Single","PNP","SC-59-3","50","80","1","Standard","false","false","true","true","Active"
"90","MUN5132DW1","https://www.onsemi.com/download/data-sheet/pdf/DTA143ED-D.PDF","MUN5132DW1T1G","0.02","Dual Bias Resistor Transistor","3","0.5","4.7","4.7","0.1","Dual","PNP","SC-88-6 / SC-70-6 / SOT-363-6","50","15","1","Standard","false","false","true","true","Active"
"90","MUN5236","https://www.onsemi.com/download/data-sheet/pdf/DTC115E-D.PDF","MUN5236T1G","0.03","NPN Bipolar Digital Transistor (BRT)","3","0.5","100","100","0.1","Single","NPN","SC-70-3 / SOT-323-3","50","80","1","Standard","false","false","true","true","Active"
"90","MUN5136DW1","https://www.onsemi.com/download/data-sheet/pdf/DTA115ED-D.PDF","MUN5136DW1T1G","0.03","Dual Bias Resistor Transistor","3","0.5","100","100","0.1","Dual","PNP","SC-88-6 / SC-70-6 / SOT-363-6","50","80","1","Standard","false","false","true","true","Active"
"90","NSBA143EDXV6","https://www.onsemi.com/download/data-sheet/pdf/DTA143ED-D.PDF","NSBA143EDXV6T1G","0.05","50V Dual PNP Digital Transistor","3","0.5","4.7","4.7","0.1","Dual","PNP","SOT-563","50","15","1","Standard","false","false","true","true","Active"
