"Part Suitability","Product (WPN)","Datasheet","OPN","Price","Description","V(BR)CES Typ (V)","IC Max (A)","VCE(sat) Typ (V)","PD Max (W)","Co-Packaged Diode","Short Circuit Withstand (µs)","Package Type","VF Typ (V)","Eon Typ (mJ)","Eoff Typ (mJ)","Trr Typ (ns)","Irr Typ (A)","QG Typ (nC)","EAS Typ (mJ)","Qualification","AEC Qualified","PPAP Capable","Halide Free","Lead Free","Status"
"100","FGD3N60LSD","https://www.onsemi.com/download/data-sheet/pdf/FGD3N60LSD-D.PDF","FGD3N60LSDTM","0.45","IGBT, 600V, 3A, 1.2V, DPAK, Planar","600","6","1.2","40","true","","DPAK-3 / TO-252-3","1.5","0.25","1","234","2.64","12.5","","Automotive","true","true","true","true","Active"
"92","AFGB40T65RQDN","https://www.onsemi.com/download/data-sheet/pdf/AFGB40T65RQDN-D.PDF","AFGB40T65RQDN","1.77","IGBT - 650 V 40 A - Short circuit rated FS4  - Automotive qualified","650","40","1.55","339.37","true","5","D2PAK-3 / TO-263-2","1.68","1.18","0.75","52","20","51","","Automotive","true","true","false","true","Active"
"92","AFGHL30T65RQDN","https://www.onsemi.com/download/data-sheet/pdf/AFGHL30T65RQDN-D.PDF","AFGHL30T65RQDN","2.35","IGBT - 650 V 30 A - Short circuit rated FS4  - Automotive qualified","650","30","1.57","230.8","true","5","TO-247-3LD","1.7","0.79","0.54","39","17.7","37.22","","Automotive","true","true","false","true","Active"
"91","AFGHL40T65RQDN","https://www.onsemi.com/download/data-sheet/pdf/AFGHL40T65RQDN-D.PDF","AFGHL40T65RQDN","2.73","IGBT - 650 V 40 A - Short circuit rated FS4  - Automotive qualified ","650","40","1.6","288","true","5","TO-247-3LD","1.72","1.14","0.74","43.82","18.8","47.34","","Automotive","true","true","false","true","Active"
"90","AFGHL50T65RQDN","https://www.onsemi.com/download/data-sheet/pdf/AFGHL50T65RQDN-D.PDF","AFGHL50T65RQDN","2.93","IGBT - 650 V 50 A - Short circuit rated FS4  - Automotive qualified","650","50","1.6","346","true","5","TO-247-3LD","1.65","3.09","0.83","57","20","65","","Automotive","true","true","false","true","Active"
"89","AFGHL50T65SQD","https://www.onsemi.com/download/data-sheet/pdf/AFGHL50T65SQD-D.PDF","AFGHL50T65SQD","2.40","AEC 101 Qualified, 650V, 50A Fieldstop 4 trench IGBT","650","50","1.6","268","true","","TO-247-3LD","2.2","0.18","0.045","31","","99","","Automotive","true","true","true","true","Active"
"89","AFGHL40T65SQD","https://www.onsemi.com/download/data-sheet/pdf/AFGHL40T65SQD-D.PDF","AFGHL40T65SQD","2.74","AEC 101 Qualified, 650V, 40A Fieldstop 4 trench IGBT","650","40","1.6","238","true","","TO-247-3LD","2.2","0.138","0.052","31.8","","80","","Automotive","true","true","true","true","Active"
"88","FGB5065G2-F085","https://www.onsemi.com/download/data-sheet/pdf/FGB5065G2-F085-D.PDF","FGB5065G2-F085","3.19","EcoSPARK®2 HV-HE IGBT500 mJ, 650 V, N-Channel PTC Heater IGBT","680","78","1.56","300","","","D2PAK-3 / TO-263-2","","","","","","40","500","Automotive","true","true","true","true","Active"
"88","FGH4L50T65SQD","https://www.onsemi.com/download/data-sheet/pdf/FGH4L50T65SQD-D.PDF","FGH4L50T65SQD","2.00","IGBT - 650 V 50 A FS4 high speed IGBT with copack diode","650","50","1.6","268","true","","TO-247-4","2.1","0.66","0.44","29","14","92","","Standard","false","false","false","true","Active"
"88","FGHL40T65LQDT","https://www.onsemi.com/download/data-sheet/pdf/FGHL40T65LQDT-D.PDF","FGHL40T65LQDT","1.96","IGBT - 650 V 40 A FS4 low Vce(sat) IGBT with full rated copack diode","650","40","1.15","273","true","","TO-247-3LD","1.7","0.75","1.15","84","16","414","","Standard","false","false","false","true","Active"
"88","AFGHL75T65SQDT","https://www.onsemi.com/download/data-sheet/pdf/AFGHL75T65SQDT-D.PDF","AFGHL75T65SQDT","2.96","AEC 101 Qualified, 650V, 75A Fieldstop 4 trench IGBT","650","75","1.6","375","true","","TO-247-3LD","1.8","0.76","0.18","76","","128","","Automotive","true","true","true","true","Active"
"87","AFGHL75T65SQD","https://www.onsemi.com/download/data-sheet/pdf/AFGHL75T65SQD-D.PDF","AFGHL75T65SQD","3.15","AEC 101 Qualified, 650V, 75A Fieldstop 4 trench IGBT","650","75","1.6","375","true","","TO-247-3LD","2","0.76","0.18","76","","128","","Automotive","true","true","true","true","Active"
"87","FGHL50T65LQDTL4","https://www.onsemi.com/download/data-sheet/pdf/FGHL50T65LQDTL4-D.PDF","FGHL50T65LQDTL4","2.43","IGBT - 650 V 50 A FS4 low Vce(sat) IGBT with full rated copack diode","650","50","1.15","341","true","","TO-247-4","1.65","0.72","1.54","75","21","509","","Standard","false","false","false","true","Active"
"87","FGHL50T65LQDT","https://www.onsemi.com/download/data-sheet/pdf/FGHL50T65LQDT-D.PDF","FGHL50T65LQDT","2.28","IGBT - 650 V 50 A FS4 low Vce(sat) IGBT with full rated copack diode","650","50","1.15","341","true","","TO-247-3LD","1.65","1.18","1.48","75","21","509","","Standard","false","false","false","true","Active"
"87","AFGB30T65RQDN","https://www.onsemi.com/download/data-sheet/pdf/AFGB30T65RQDN-D.PDF","AFGB30T65RQDN","'-","IGBT - 650V 30A -Short circuit rated FS4 - Automotive","650","30","1.58","235.48","true","5","D2PAK-3 / TO-263-2","1.71","0.78","0.56","44","18.4","38","","Automotive","true","true","false","true","Active"
"87","FGB5056G2-F085","https://www.onsemi.com/download/data-sheet/pdf/FGB5056G2-F085-D.PDF","FGB5056G2-F085","'-","EcoSPARK®2 HV-HE IGBT 500 mJ, 560 V, N-Channel PTC Heater IGBT","560","80","1.54","300","false","","D2PAK-3 / TO-263-2","","","","","","39","500","Automotive","true","true","true","true","Active"
