"Part Suitability","Product (WPN)","Datasheet","OPN","Price","Description","Shutter Type","Megapixels (MP)","Pixel Size (µm)","Frame Rate (fps)","Optical Format","Optical Format (inch)","Color","Output Interface","Package Type","Qualification","MSL Type","MSL Temp °C","AEC Qualified","PPAP Capable","Halide Free","Lead Free","Status"
"100","AS0149AT","https://www.onsemi.com/download/data-sheet/pdf/null","AS0149ATSC00XUEA1-DPBR","'-","Hayabusa CMOS Image Sensor SOC, 1.3 MP, 1/4"", RGB, Rolling Shutter, Dry Pack with PF","Electronic Rolling","1.3","3","30","1/4 inch<br>(6.4 mm)","0.25","RGB","MIPI","IBGA-89","Automotive","3","260","true","true","true","true","Active"
"100","AS0149AT","https://www.onsemi.com/download/data-sheet/pdf/null","AS0149ATSC00XUEA1-DRBR","'-","Hayabusa CMOS Image Sensor SOC, 1.3 MP, 1/4"", RGB, Rolling Shutter, Dry Pack without PF","Electronic Rolling","1.3","3","30","1/4 inch<br>(6.4 mm)","0.25","RGB","MIPI","IBGA-89","Automotive","3","260","true","true","true","true","Active"
"100","AS0149AT","https://www.onsemi.com/download/data-sheet/pdf/null","AS0149ATSC00XUEA1-TPBR","'-","Hayabusa CMOS Image Sensor SOC, 1.3 MP, 1/4"", RGB, Rolling Shutter, Tape and Reel with PF","Electronic Rolling","1.3","3","30","1/4 inch<br>(6.4 mm)","0.25","RGB","MIPI","IBGA-89","Automotive","3","260","true","true","true","true","Active"
"100","AS0149AT","https://www.onsemi.com/download/data-sheet/pdf/null","AS0149ATSC00XUEA1-TRBR","'-","Hayabusa CMOS Image Sensor SOC, 1.3 MP, 1/4"", RGB, Rolling Shutter, Tape and Reel without PF","Electronic Rolling","1.3","3","30","1/4 inch<br>(6.4 mm)","0.25","RGB","MIPI","IBGA-89","Automotive","3","260","true","true","true","true","Active"
"99","ARX383CS","https://www.onsemi.com/download/data-sheet/pdf/null","ARX383CSSM00SMD20","'-","1/8-inch 0.3 Mp Global Shutter CMOS Digital Image Sensor, 0.3MP VGA 1/8"", Mono, 0 deg CRA, Bare Die","Global Shutter","0.3","2.8","120","1/8 inch<br>(3.2 mm)","0.13","Mono","MIPI","","Standard","","","false","false","true","true","Active"
"99","ARX383CS","https://www.onsemi.com/download/data-sheet/pdf/null","ARX383CSSM00SMKA0-CP","'-","1/8-inch 0.3 Mp Global Shutter CMOS Digital Image Sensor, 0.3MP VGA 1/8"", Mono, 0 deg CRA, with Protective Film","Global Shutter","0.3","2.8","120","1/8 inch<br>(3.2 mm)","0.13","Mono","MIPI","ODCSP35 3.922x3.556","Standard","4","250","false","false","true","true","Active"
"99","ARX383CS","https://www.onsemi.com/download/data-sheet/pdf/null","ARX383CSSM00SMKA0-CR","'-","1/8-inch 0.3 Mp Global Shutter CMOS Digital Image Sensor, 0.3MP VGA 1/8"", Mono, 0 deg CRA, without Protective Film","Global Shutter","0.3","2.8","120","1/8 inch<br>(3.2 mm)","0.13","Mono","MIPI","ODCSP35 3.922x3.556","Standard","4","250","false","false","true","true","Active"
"99","ARX383CS","https://www.onsemi.com/download/data-sheet/pdf/null","ARX383CSSM28SMKA0-CP","'-","1/8-inch 0.3 Mp Global Shutter CMOS Digital Image Sensor, 0.3MP VGA 1/8"", Mono, 28 deg CRA, with Protective Film","Global Shutter","0.3","2.8","120","1/8 inch<br>(3.2 mm)","0.13","Mono","MIPI","ODCSP35 3.922x3.556","Standard","4","250","false","false","true","true","Active"
"99","ARX383CS","https://www.onsemi.com/download/data-sheet/pdf/null","ARX383CSSM28SMKA0-CR","'-","1/8-inch 0.3 Mp Global Shutter CMOS Digital Image Sensor, 0.3MP VGA 1/8"", Mono, 28 deg CRA, without Protective Film","Global Shutter","0.3","2.8","120","1/8 inch<br>(3.2 mm)","0.13","Mono","MIPI","ODCSP35 3.922x3.556","Standard","4","250","false","false","true","true","Active"
"98","ARX383CS","https://www.onsemi.com/download/data-sheet/pdf/null","ARX383CSSM28SMD20","'-","1/8-inch 0.3 Mp Global Shutter CMOS Digital Image Sensor, 0.3MP VGA 1/8"", Mono, 28 deg CRA, Bare Die","Global Shutter","0.3","2.8","120","1/8 inch<br>(3.2 mm)","0.13","Mono","MIPI","","Standard","","","false","false","true","true","Active"
