"Part Suitability","Product (WPN)","Datasheet","OPN","Price","Description","Rated Voltage Min (V)","VCE(sat) @ 25 °C Typ (V)","IO @ 25 °C Min (A)","RDS(on) (Ω)","Family","Topology","Package Type","Substrate","Input Logic","Shutdown Pin","Emitter Configuration","Mounting Type","PMAX (W)","Qualification","AEC Qualified","PPAP Capable","Halide Free","Lead Free","Status"
"100","FSB50825AB","https://www.onsemi.com/download/data-sheet/pdf/FSB50825AB-D.pdf","FSB50825AB","3.82","Intelligent Power Module, 250V, 3.6A","250","","3.6","0.33","SPM5","3-Phase Inverter MOSFET","DIP-021","Full Pack","Active High","false","3 Source Pins","DIP","200","Standard","false","false","true","true","Active"
"99","FSB50825AS","https://www.onsemi.com/download/data-sheet/pdf/FSB50825AS-D.pdf","FSB50825AS","6.10","Intelligent Power Module, 250V, 3.6A","250","","3.6","0.33","SPM5","3-Phase Inverter MOSFET","SMD-023","Full Pack","Active High","false","3 Source Pins","SMD","200","Standard","false","false","true","true","Active"
"93","FSB50550AT","https://www.onsemi.com/download/data-sheet/pdf/FSB50550A-D.pdf","FSB50550AT","4.97","Intelligent Power Module (IPM), Motion Control","500","","2","1","SPM5","3-Phase Inverter MOSFET","DIP-023","Full Pack","Active High","false","3 Source Pins","DIP","200","Standard","false","false","true","true","Active"
"92","NFA50460R4B","https://www.onsemi.com/download/data-sheet/pdf/NFA50460R4-D.PDF","NFA50460R4B","3.47","Intelligent Power Module, 600V, 4A, DIP","600","1.85","4","","SPM5","3-Phase Inverter IGBT","DIP-023","Full Pack","Active High","false","3 Source Pins","DIP","200","Standard","false","false","true","true","Active"
"92","NFA50460R47","https://www.onsemi.com/download/data-sheet/pdf/NFA50460R4-D.PDF","NFA50460R47","3.54","Intelligent Power Module, 600V, 4A, DIP","600","1.85","4","","SPM5","3-Phase Inverter IGBT","SMD-023","Full Pack","Active High","false","3 Source Pins","SMD","200","Standard","false","false","true","true","Active"
"92","FSB50450AS","https://www.onsemi.com/download/data-sheet/pdf/FSB50450AT-D.pdf","FSB50450AS","4.05","Intelligent Power Module, 500V, 4A","500","","1.5","1.9","SPM5","3-Phase Inverter MOSFET","SMD-023","Full Pack","Active High","false","3 Source Pins","SMD","200","Standard","false","false","true","true","Active"
"91","FSB50250AT","https://www.onsemi.com/download/data-sheet/pdf/FSB50250AT-D.pdf","FSB50250AT","3.43","Intelligent Power Module (IPM), Motion Control, Wide Creepage VBU, VBV, VBW Pins","500","","1.2","2.5","SPM5","3-Phase Inverter MOSFET","DIP-023","Full Pack","Active High","false","3 Source Pins","DIP","200","Standard","false","false","true","true","Active"
"91","FSB50250AS","https://www.onsemi.com/download/data-sheet/pdf/FSB50250AS-D.pdf","FSB50250AS","3.97","Intelligent Power Module, 500V, 2A, SMD Version","500","","1.2","2.5","SPM5","3-Phase Inverter MOSFET","SMD-023","Full Pack","Active High","false","3 Source Pins","SMD","200","Standard","false","false","true","true","Active"
"89","FSB50250BS","https://www.onsemi.com/download/data-sheet/pdf/FSB50250B-D.PDF","FSB50250BS","3.41","Intelligent Power Module, 500V, 2A","500","","2.2","5.5","SPM5","3-Phase Inverter MOSFET","SMD-023","Full Pack","Active High","false","3 Source Pins","SMD","200","Standard","false","false","false","true","Active"
"88","FSB70250","https://www.onsemi.com/download/data-sheet/pdf/FSB70250-D.pdf","FSB70250","3.45","Intelligent Power Module, 500V, 2A","500","","3.3","2.5","SPM7","3-Phase Inverter MOSFET","PQFN-27","PQFN","Active High","true","3 Source Pins","SMD","80","Standard","false","false","true","true","Active"
