"Part Suitability","Product (WPN)","Datasheet","OPN","Price","Description","V(BR)GSS Min (V)","IDSS Min (mA)","IDSS Max (mA)","Channel Polarity","Package Type","Ciss Max (pF)","Crss Max (pF)","Qualification","AEC Qualified","PPAP Capable","Halide Free","Lead Free","Status"
"100","NSVJ5908DSG5","https://www.onsemi.com/download/data-sheet/pdf/NSVJ5908DSG5-D.PDF","NSVJ5908DSG5T1G","0.26","N-Channel JFET, -15 V, 10 to 32 mA, 35 mS, Dual","15","10","32","N-Channel","SC-88AFL / MCPH-5","10.5","3.5","Automotive","true","true","true","true","Active"
"98","NSVJ2394SA3","https://www.onsemi.com/download/data-sheet/pdf/NSVJ2394SA3-D.PDF","NSVJ2394SA3T1G","0.17","N-Channel JFET, 15 V, 10 to 32 mA, 38 mS","15","10","32","N-Channel","SC-59-3 / CP-3","10","2.9","Automotive","true","true","false","true","Active"
"97","NSVJ3557SA3","https://www.onsemi.com/download/data-sheet/pdf/NSVJ3557SA3-D.PDF","NSVJ3557SA3T1G","0.15","N-Channel JFET, 15V, 10 to 32mA, 35mS","15","10","32","N-Channel","SC-59-3 / CP-3","10","2.9","Automotive","true","true","false","true","Active"
"97","2SK932","https://www.onsemi.com/download/data-sheet/pdf/2SK932-D.PDF","2SK932-23-TB-E","0.12","N-Channel JFET, 15V, 5 to 24mA, 50mS, CP","10","10","17","N-Channel","SC-59-3 / CP-3","10","3","Standard","false","false","false","true","Active"
"96","NSVJ6904DSB6","https://www.onsemi.com/download/data-sheet/pdf/NSVJ6904DSB6-D.PDF","NSVJ6904DSB6T1G","0.29","N-Channel JFET, -25 V, 20 to 40 mA, 40 mS, Dual","15","20","40","N-Channel","CPH-6","10","2.3","Automotive","true","true","true","true","Active"
"95","MMBFJ177L","https://www.onsemi.com/download/data-sheet/pdf/MMBFJ177LT1-D.PDF","SMMBFJ177LT1G","0.11","P-Channel JFET Transistor","30","1.5","20","P-Channel","SOT-23-3","11","5.5","Automotive","true","true","true","true","Active"
"94","2SK932","https://www.onsemi.com/download/data-sheet/pdf/2SK932-D.PDF","2SK932-24-TB-E","0.16","N-Channel JFET, 15V, 5 to 24mA, 50mS, CP","10","14.5","24","N-Channel","SC-59-3 / CP-3","10","3","Standard","false","false","false","true","Active"
"94","MMBF5484","https://www.onsemi.com/download/data-sheet/pdf/MMBF5486-D.PDF","MMBF5484","0.07","N-Channel RF Amplifier","25","1","5","N-Channel","SOT-23-3","5","1","Standard","false","false","true","true","Active"
"93","MMBF5457","https://www.onsemi.com/download/data-sheet/pdf/MMBF5457-D.PDF","MMBF5457","0.11","N-Channel General Purpose Amplifier","25","1","5","N-Channel","SOT-23-3","7","3","Standard","false","false","true","true","Active"
"93","2SK3557","https://www.onsemi.com/download/data-sheet/pdf/2SK3557-D.PDF","2SK3557-6-TB-E","0.13","N-Channel JFET, 15V, 10 to 32mA, 35mS, CP","15","10","20","N-Channel","SC-59-3 / CP-3","10","2.9","Standard","false","false","false","true","Active"
"93","2SK2394","https://www.onsemi.com/download/data-sheet/pdf/2SK2394-D.PDF","2SK2394-6-TB-E","0.17","N-Channel JFET, 15V, 6 to 32mA, 38mS, CP","15","10","20","N-Channel","SC-59-3 / CP-3","10","2.9","Standard","false","false","false","true","Active"
"93","MCH3914","https://www.onsemi.com/download/data-sheet/pdf/ENA1511-D.PDF","MCH3914-7-TL-H","0.23","N-Channel JFET, 15V, 16 to 50mA, 29mS, MCPH3","15","16","50","N-Channel","SC-70FL / MCPH-3","4.9","1.4","Standard","false","false","true","true","Active"
"93","MCH3914","https://www.onsemi.com/download/data-sheet/pdf/ENA1511-D.PDF","MCH3914-8-TL-H","0.23","N-Channel JFET, 15V, 16 to 50mA, 29mS, MCPH3","15","16","50","N-Channel","SC-70FL / MCPH-3","4.9","1.4","Standard","false","false","true","true","Active"
"92","MMBFJ175L","https://www.onsemi.com/download/data-sheet/pdf/MMBFJ175LT1-D.PDF","SMMBFJ175LT1G","0.11","P-Channel JFET Transistor, 30 V","30","7","60","P-Channel","SOT-23-3","11","5.5","Automotive","true","true","true","true","Active"
"92","MMBF4393L","https://www.onsemi.com/download/data-sheet/pdf/MMBF4391LT1-D.PDF","SMMBF4393LT1G","0.16","N-Channel JFET Transistor","30","5","30","N-Channel","SOT-23-3","14","3.5","Automotive","true","true","true","true","Active"
"92","TF412S","https://www.onsemi.com/download/data-sheet/pdf/TF412S-D.PDF","TF412ST5G","0.08","N-Channel JFET, 30 V, 1.2 to 3.0 mA, 5.0 mS, SOT-883","30","1.2","3","N-Channel","SOT-883","4","1.1","Standard","false","false","true","true","Active"
"92","MMBF5485","https://www.onsemi.com/download/data-sheet/pdf/MMBF5486-D.PDF","MMBF5485","0.07","N-Channel RF Amplifier","25","4","10","N-Channel","SOT-23-3","5","1","Standard","false","false","true","true","Active"
"91","MMBFJ309L","https://www.onsemi.com/download/data-sheet/pdf/MMBFJ309LT1-D.PDF","SMMBFJ309LT1G","0.11","N-Channel JFET Transistor","25","12","30","N-Channel","SOT-23-3","5","2.5","Automotive","true","true","true","true","Active"
