Product (WPN);Datasheet;OPN;Price;Description;Channel Polarity;Configuration;V(BR)DSS Min (V);RDS(on) @ VGS = 10 V (mΩ)†;ID Max (A);Qg @ VGS = 10 V (nC)†;VGS Max (V);Technology;Package Type;Ciss Typ (pF);VGS(th) Max (V);PD Max (W);RDS(on) Max @ VGS = 2.5 V  (mΩ);RDS(on) Max @ VGS = 4.5 V  (mΩ);Qg Typ @ VGS = 4.5 V (nC);Coss Typ (pF);Crss Typ (pF);Qgd Typ @ VGS = 4.5 V (nC);Qrr Typ (nC);Qualification;Tj Max (°C);AEC Qualified;PPAP Capable;Halide Free;Lead Free;Status
NVTYS006N06CL;https://www.onsemi.com/download/data-sheet/pdf/NVTYS006N06CL-D.PDF;NVTYS006N06CLTWG;0.45;MOSFET – Power, Single, N-Channel;N-Channel;Single;20;6.8;71;19;2;Silicon;LFPAK8 3.3x3.3, 0.65P;1330;2;61;;10;8;740;11;;22;Automotive;;TRUE;TRUE;TRUE;TRUE;Active
NVMFS003P03P8Z;https://www.onsemi.com/download/data-sheet/pdf/NVMFS003P03P8Z-D.PDF;NVMFWS003P03P8ZT1G;1.13;Power MOSFET - Power, Single P-Channel, SO8-FL -30 V, 1.8 mΩ, -234 A;P-Channel;Single;-30;1.8;-234;277;25;Silicon;DFNW5 5x6 (FULL-CUT SO8FL WF);12120;-3;168.7;;2.9;167;4020;4100;116;116;Automotive;;TRUE;TRUE;TRUE;TRUE;Active
NVMFS9D6P04M8L;https://www.onsemi.com/download/data-sheet/pdf/NVMFS9D6P04M8L-D.PDF;NVMFS9D6P04M8LT1G;0.55;MOSFET - Power, Single P-Channel;P-Channel;Single;-40;9.5;-77;14.47;20;Silicon;SO-8FL / DFN-5;2002;-2.4;75;;13.8;15.04;935;43;12.83;97.9;Automotive;;TRUE;TRUE;TRUE;TRUE;Active
NVMFS9D6P04M8L;https://www.onsemi.com/download/data-sheet/pdf/NVMFS9D6P04M8L-D.PDF;NVMFWS9D6P04M8LT1G;0.58;MOSFET - Power, Single P-Channel;P-Channel;Single;-40;9.5;-77;14.47;20;Silicon;DFNW5 5x6 (FULL-CUT SO8FL WF);2002;-2.4;75;;13.8;15.04;935;43;12.83;97.9;Automotive;;TRUE;TRUE;TRUE;TRUE;Active
NVMFS2D3P04M8L;https://www.onsemi.com/download/data-sheet/pdf/NVMFS2D3P04M8L-D.PDF;NVMFS2D3P04M8LT1G;2.15;NVMFS2D3P04M8L Power MOSFET, Single, P-Channel, -40 V, 2.2 mΩ, -222 A;P-Channel;Single;-40;2.2;-222;157;20;Silicon;DFN5 5x6, 1.27P (SO−8FL);5985;-2.4;205;;3.3;73.5;4228;88;;536;Automotive;;TRUE;TRUE;TRUE;TRUE;Active
NVMFS2D3P04M8L;https://www.onsemi.com/download/data-sheet/pdf/NVMFS2D3P04M8L-D.PDF;NVMFWS2D3P04M8LT1G;2.21;NVMFS2D3P04M8L Power MOSFET, Single, P-Channel, -40 V, 2.2 mΩ, -222 A;P-Channel;Single;-40;2.2;-222;157;20;Silicon;DFNW5 5x6 (FULL-CUT SO8FL WF);5985;-2.4;205;;3.3;73.5;4228;88;;536;Automotive;;TRUE;TRUE;TRUE;TRUE;Active
NVMFS3D0P04M8L;https://www.onsemi.com/download/data-sheet/pdf/NVMFS3D0P04M8L-D.PDF;NVMFS3D0P04M8LT1G;1.09;Power MOSFET, Single P-Channel, -40 V, 2.7 mΩ, -183 A;P-Channel;Single;-40;2.7;-183;124;20;Silicon;SO-8FL / DFN-5;3225;-2.4;171;;4.2;58.7;3225;85.8;;246;Automotive;;TRUE;TRUE;TRUE;TRUE;Active
NVLJWS013N03CL;https://www.onsemi.com/download/data-sheet/pdf/NVLJWS013N03CL-D.PDF;NVLJWS013N03CLTAG;0.26;Single N−Channel µCool™ Power MOSFET 30V, 8.2A, 13mΩ;N-Channel;Single;30;13;35;10;20;Silicon;WDFNW6 2.05x2.05, 0.65P;600;2;27;;18;4;350;10;0.8;11;Automotive;;TRUE;TRUE;TRUE;TRUE;Active
NVMFS3D0P04M8L;https://www.onsemi.com/download/data-sheet/pdf/NVMFS3D0P04M8L-D.PDF;NVMFWS3D0P04M8LT1G;1.69;Power MOSFET, Single P-Channel, -40 V, 2.7 mΩ, -183 A, Wettable Option;P-Channel;Single;-40;2.7;-183;124;20;Silicon;DFNW5 5x6 (FULL-CUT SO8FL WF);3225;-2.4;171;;4.2;58.7;3225;85.8;;246;Automotive;;TRUE;TRUE;TRUE;TRUE;Active
NVLJWD023N04CL;https://www.onsemi.com/download/data-sheet/pdf/NVLJWD023N04CL-D.PDF;NVLJWD023N04CLTAG;0.33;Single N−Channel µCool™ Power MOSFET 40V 25A 23mΩ;N-Channel;Dual;40;23;25;9;20;Silicon;WDFNW6 2.2x2.3, 0.8P;440;2;24;;33;4;210;8;1.3;8;Automotive;;TRUE;TRUE;TRUE;TRUE;Active
NVLJWD040N06CL;https://www.onsemi.com/download/data-sheet/pdf/NVLJWD040N06CL-D.PDF;NVLJWD040N06CLTAG;0.33;MOSFET – Power, Dual N-Channel 60 V, 38 mΩ, 18 A;N-Channel;Dual;60;38;18;6;20;Silicon;WDFNW6 2.2x2.3, 0.8P;340;2;24;;50;3;145;3;0.6;10;Automotive;;TRUE;TRUE;TRUE;TRUE;Active
NVRGS042N04CL;https://www.onsemi.com/download/data-sheet/pdf/NVRGS042N04CL-D.PDF;NVRGS042N04CLT1G;0.15;Single N-Channel Logic Level Power MOSFET 40 V, 6.6 A, 34 mΩ, Small Signal;N-Channel;Single;40;34;6.6;8.8;20;Silicon;SOT-23-3;423;2.2;2.4;;49;;189;9.7;1.6;;Automotive;;TRUE;TRUE;TRUE;TRUE;Active
NVMJD015N06CL;https://www.onsemi.com/download/data-sheet/pdf/NVMJD015N06CL-D.PDF;NVMJD015N06CLTWG;0.67;Dual N−Channel Power MOSFET 60V, 35A, 15mΩ;N-Channel;Dual;60;15;35;9.4;20;Silicon;LFPAK8 5.15x6.15;643;3;37;;21;4.7;311;5.8;1.2;9.8;Automotive;;TRUE;TRUE;TRUE;TRUE;Active
NVRGS055N06CL;https://www.onsemi.com/download/data-sheet/pdf/NVRGS055N06CL-D.PDF;NVRGS055N06CLT1G;0.15;Single N-Channel Logic Level Power MOSFET 60 V, 5.11 A, 51 mΩ, Small Signal;N-Channel;Single;60;51;5.11;6.1;20;Silicon;SOT-23-3;344;2.2;2.42;;70;;173;5;0.7;;Automotive;;TRUE;TRUE;TRUE;TRUE;Active
NVMJD7D4N04CL;https://www.onsemi.com/download/data-sheet/pdf/NVMJD7D4N04CL-D.PDF;NVMJD7D4N04CLTWG;0.68;Dual N−Channel Power MOSFET 40V, 52A, 7.4mΩ;N-Channel;Dual;40;7.4;52;16;20;Silicon;LFPAK8 5.15x6.15;997;2.2;38;;12.6;7;354;13;2.2;8;Automotive;;TRUE;TRUE;TRUE;TRUE;Active
NVMJD012N06CL;https://www.onsemi.com/download/data-sheet/pdf/NVMJD012N06CL-D.PDF;NVMJD012N06CLTWG;0.72;Dual N−Channel Power MOSFET 60V, 42A, 11.9mΩ;N-Channel;Dual;60;11.9;42;11.5;20;Silicon;LFPAK8 5.15x6.15;792;2.2;42;;16.8;5.7;438;8;1.5;12;Automotive;;TRUE;TRUE;TRUE;TRUE;Active
NVLJWS5D0N03CL;https://www.onsemi.com/download/data-sheet/pdf/NVLJWS5D0N03CL-D.PDF;NVLJWS5D0N03CLTAG;0.32;Single N−Channel Power MOSFET 30V 77A 4.2 mΩ;N-Channel;Single;30;4.2;77;20;20;Silicon;WDFNW6 2.05x2.05, 0.65P;1350;2;2.5;;6.6;9;650;20;2;23;Automotive;;TRUE;TRUE;TRUE;TRUE;Active
