"Part Suitability","Product (WPN)","Datasheet","SPICE Live Model","OPN","Price","Description","Power Conversion","VOUT (min) (V)","VOUT (max) (V)","VINDC/RMS (max) (V)","VINDC/RMS (min) (V)","IOUT (A)","Iq Typ (mA)","fSW Typ (kHz)","Topology","Control Mode","Package Type","Qualification","VCC Min (V)","VCC Max (V)","UVLO (V)","Stand-by Mode","Drive Capability Source","Drive Capability Sink","Latch","Shutdown Pin","Efficiency (%)","Phases","VDO Typ (V)","PSRR (dB)","Noise (µVrms)","Application","Polarity","Output","Enable","PowerGood","Short Circuit Protection","Soft Start","fJitter Typ (%)","RDS(ON) Typ (Ω)","V(BR)DSS Max (V)","IPeak (mA)","HV Start-up Min (V)","DSS (mA)","Over Power Compensation","Brown-out","PFC Mode","Frequency Operation","UVP","Inhibition","Vref Typ (V)","TA Max (°C)","TA Min (°C)","AEC Qualified","PPAP Capable","Halide Free","Lead Free","Status"
"100","NCV4296-2C","https://www.onsemi.com/download/data-sheet/pdf/NCV4296-2C-D.PDF","https://www.onsemi.com/design/tools-software/spice-live-model/NCV4296-2CSN50T1G","NCV4296-2CSN50T1G","0.23","LDO Regulator, 30 mA,  Ultra-Low Dropout, 5.0 V","DC/DC","5","5","45","5.5","0.03","0.15","","LDO","","TSOP-5 / SOT-23-5","Automotive","","","","","","","","","","","0.065","60","","Automotive","Positive","Single","false","false","","","","","","","","","","","","","","","","","","true","true","true","true","Active"
"100","NCV4296-2C","https://www.onsemi.com/download/data-sheet/pdf/NCV4296-2C-D.PDF","https://www.onsemi.com/design/tools-software/spice-live-model/NCV4296-2CSN33T1G","NCV4296-2CSN33T1G","0.24","LDO Regulator, 30 mA,  Ultra-Low Dropout, 3.3 V","DC/DC","3.3","3.3","45","3.8","0.03","0.15","","LDO","","TSOP-5 / SOT-23-5","Automotive","","","","","","","","","","","0.065","60","","Automotive","Positive","Single","false","false","","","","","","","","","","","","","","","","","","true","true","true","true","Active"
"100","NCV4295C","https://www.onsemi.com/download/data-sheet/pdf/NCV4295C-D.PDF","https://www.onsemi.com/design/tools-software/spice-live-model/NCV4295CSN50T1G","NCV4295CSN50T1G","0.23","LDO Regulator, 30 mA,  Ultra-Low Dropout, 5.0 V","DC/DC","5","5","45","5.5","0.03","0.16","","LDO","","TSOP-5 / SOT-23-5","Automotive","","","","","","","","","","","0.065","60","","Automotive","Positive","Single","false","false","","","","","","","","","","","","","","","","","","true","true","true","true","Active"
"100","NCV4294C","https://www.onsemi.com/download/data-sheet/pdf/NCV4294C-D.PDF","https://www.onsemi.com/design/tools-software/spice-live-model/NCV4294CSN33T1G","NCV4294CSN33T1G","0.23","LDO Regulator, 30 mA, Ultra-Low Dropout, 3.3 V","DC/DC","3.3","3.3","45","3.8","0.03","0.16","","LDO","","TSOP-5 / SOT-23-5","Automotive","","","","","","","","","","","0.065","60","","Automotive","Positive","Single","false","false","","","","","","","","","","","","","","","","","","true","true","true","true","Active"
"100","NCV4295C","https://www.onsemi.com/download/data-sheet/pdf/NCV4295C-D.PDF","https://www.onsemi.com/design/tools-software/spice-live-model/NCV4295CSN33T1G","NCV4295CSN33T1G","0.23","LDO Regulator, 30 mA,  Ultra-Low Dropout, 3.3 V","DC/DC","3.3","3.3","45","3.8","0.03","0.16","","LDO","","TSOP-5 / SOT-23-5","Automotive","","","","","","","","","","","0.065","60","","Automotive","Positive","Single","false","false","","","","","","","","","","","","","","","","","","true","true","true","true","Active"
"100","NCV4294C","https://www.onsemi.com/download/data-sheet/pdf/NCV4294C-D.PDF","https://www.onsemi.com/design/tools-software/spice-live-model/NCV4294CSN50T1G","NCV4294CSN50T1G","0.29","LDO Regulator, 30 mA, Ultra-Low Dropout, 5.0 V","DC/DC","5","5","45","5.5","0.03","0.16","","LDO","","TSOP-5 / SOT-23-5","Automotive","","","","","","","","","","","0.065","60","","Automotive","Positive","Single","false","false","","","","","","","","","","","","","","","","","","true","true","true","true","Active"
"100","NCV8768C","https://www.onsemi.com/download/data-sheet/pdf/NCV8768C-D.PDF","","NCV8768CD33ABR2G","0.71","LDO Regulator, 150 mA, Very Low Iq, Window Watchdog, Enable and Reset, 3.3 V","DC/DC","3.3","3.3","40","4.5","0.15","23","","LDO","","SOIC-8","Automotive","","","","","","","","","","","","90","165","Automotive","Positive","Single","true","true","","","","","","","","","","","","","","","","","","true","true","true","true","Active"
"100","NCV8768C","https://www.onsemi.com/download/data-sheet/pdf/NCV8768C-D.PDF","","NCV8768CPD50ABR2G","0.65","LDO Regulator, 150 mA, Very Low Iq, Window Watchdog, Enable and Reset","DC/DC","5","5","40","5.55","0.15","23","","LDO","","SOIC-8 EP","Automotive","","","","","","","","","","","0.195","85","230","Automotive","Positive","Single","true","true","","","","","","","","","","","","","","","","","","true","true","true","true","Active"
"100","NCV8768C","https://www.onsemi.com/download/data-sheet/pdf/NCV8768C-D.PDF","","NCV8768CD50ABR2G","0.73","LDO Regulator, 150 mA, Very Low Iq, Window Watchdog, Enable and Reset","DC/DC","5","5","40","5.55","0.15","23","","LDO","","SOIC-8","Automotive","","","","","","","","","","","0.195","85","230","Automotive","Positive","Single","true","true","","","","","","","","","","","","","","","","","","true","true","true","true","Active"
"99","NCV8711","https://www.onsemi.com/download/data-sheet/pdf/NCV8711-D.PDF","","NCV8711BMTW300TBG","0.22","LDO Regulator, 100 mA, 18 V, 1 uA IQ, with PG, 3V0 WDFNW6 ","DC/DC","3","3","18","2.7","0.1","0.0013","","LDO","","WDFNW-6","Automotive","","","","","","","","","","","0.215","70","300","Automotive","Positive","Single","true","true","","","","","","","","","","","","","","","","","","true","true","true","true","Active"
