"Part Suitability","Product (WPN)","Datasheet","OPN","Price","Description","Product Family","IOUT Max (A)","Vin Min (V)","Vin Max (V)","RDS(ON) Typ (mΩ)","Features","Current Limit (FIXED/ADJ/NO)","Package Type","Iq (µA)","Input / Output","Qualification","AEC Qualified","PPAP Capable","Halide Free","Lead Free","Status"
"100","NIS6150","https://www.onsemi.com/download/data-sheet/pdf/NIS6150-D.PDF","NIV6150MT1TXG","0.50","'+5 Volt Electronic eFuse, AEC-Q100 Qualified","eFuse","1","4.7","10","36","Over Current - Shutdown, Over Current - Current source, Over Voltage Protection, Reverse Current Blocking, Fault Signal, UVLO, IMON Output, Adjustable Slew Rate, eFuse / Hot Plug","ADJ","WDFNW-10","300","1:1","Automotive","true","true","true","true","Active"
"100","NIS6150","https://www.onsemi.com/download/data-sheet/pdf/NIS6150-D.PDF","NIV6150MT2TXG","0.50","'+5 Volt Electronic eFuse, AEC-Q100 Qualified","eFuse","1","4.7","10","36","Over Current - Shutdown, Over Current - Current source, Over Voltage Protection, Reverse Current Blocking, Fault Signal, UVLO, IMON Output, Adjustable Slew Rate, eFuse / Hot Plug","ADJ","WDFNW-10","300","1:1","Automotive","true","true","true","true","Active"
"98","FPF2004","https://www.onsemi.com/download/data-sheet/pdf/FPF2001-D.PDF","FPF2004","0.36","Full Function Load Switches","IntelliMAX","0.2","1.8","5.5","700","Fault Signal, UVLO","","SC-88A-5 / SC-70-5","60","1:1","Standard","false","false","true","true","Active"
"95","NIS6150","https://www.onsemi.com/download/data-sheet/pdf/NIS6150-D.PDF","NIS6150MT2TXG","0.57","'+5 Volt Electronic eFuse, Consumer/Industrial Qualified","eFuse","1","4.7","10","36","Over Current - Shutdown, Over Current - Current source, Over Voltage Protection, Reverse Current Blocking, Fault Signal, UVLO, IMON Output, Adjustable Slew Rate, eFuse / Hot Plug","ADJ","WDFNW-10","300","1:1","Standard","false","false","true","true","Active"
"95","NIS6150","https://www.onsemi.com/download/data-sheet/pdf/NIS6150-D.PDF","NIS6150MT1TXG","0.61","'+5 Volt Electronic eFuse, Consumer/Industrial Qualified","eFuse","1","4.7","10","36","Over Current - Shutdown, Over Current - Current source, Over Voltage Protection, Reverse Current Blocking, Fault Signal, UVLO, IMON Output, Adjustable Slew Rate, eFuse / Hot Plug","ADJ","WDFNW-10","300","1:1","Standard","false","false","true","true","Active"
"92","NIS6350","https://www.onsemi.com/download/data-sheet/pdf/NIS6350-D.PDF","NIV6350MT1TXG","0.54","'+5 Volt Electronic eFuse","eFuse","3","4.7","10","36","Over Current - Shutdown, Over Current - Current source, Over Voltage Protection, Reverse Current Blocking, Fault Signal, UVLO, IMON Output, Adjustable Slew Rate, eFuse / Hot Plug","ADJ","WDFNW-10","300","1:1","Automotive","true","true","true","true","Active"
"92","NIS6350","https://www.onsemi.com/download/data-sheet/pdf/NIS6350-D.PDF","NIV6350MT2TXG","0.54","'+5 Volt Electronic eFuse","eFuse","3","4.7","10","36","Over Current - Shutdown, Over Current - Current source, Over Voltage Protection, Reverse Current Blocking, Fault Signal, UVLO, IMON Output, Adjustable Slew Rate, eFuse / Hot Plug","ADJ","WDFNW-10","300","1:1","Automotive","true","true","true","true","Active"
"90","FPF2195","https://www.onsemi.com/download/data-sheet/pdf/FPF2194-D.PDF","FPF2195","0.33","Full Function Load Switch with Adjustable Current Limit","IntelliMAX","1.5","1.8","5.5","55","Over Current - Current source, Reverse Current Blocking, Fault Signal, UVLO","","WLCSP-6","75","1:1","Standard","false","false","true","true","Active"
"90","FPF1204","https://www.onsemi.com/download/data-sheet/pdf/FPF1203-D.PDF","FPF1204UCX-Z006","0.17","IntelliMAX™ Ultra-Small, Slew-Rate-Controlled Load Switch","IntelliMAX","2.2","1.2","5.5","55","Output Discharge","","WLCSP-4","1.5","1:1","Standard","false","false","false","true","Active"
"89","NIS5420","https://www.onsemi.com/download/data-sheet/pdf/NIS5420-D.PDF","NIS5420MT6TXG","0.67","Electronic fuse (eFuse), 12V, 44 mΩ, 4A, ISENSE, Auto-Retry, UVLO 8.5V, VCLAMP 15V, ISENSE","eFuse","4.6","9.3","18","39","Over Current - Shutdown, Over Current - Current source, Over Voltage Protection, Fault Signal, UVLO, IMON Output, Adjustable Slew Rate, eFuse / Hot Plug","ADJ","WDFN-10","450","1:1","Standard","false","false","true","true","Active"
"89","NIS5420","https://www.onsemi.com/download/data-sheet/pdf/NIS5420-D.PDF","NIS5420MT5TXG","0.60","Electronic fuse (eFuse), 12V, 44 mΩ, 4A, ISENSE, Auto-Retry, UVLO 8.5V, VCLAMP 15V","eFuse","4.6","9.3","18","39","Over Current - Shutdown, Over Current - Current source, Over Voltage Protection, Fault Signal, UVLO, Adjustable Slew Rate, eFuse / Hot Plug","ADJ","WDFN-10","450","1:1","Standard","false","false","true","true","Active"
"89","NIS5420","https://www.onsemi.com/download/data-sheet/pdf/NIS5420-D.PDF","NIS5420MT4TXG","0.67","Electronic fuse (eFuse), 12V, 44 mΩ, 4A, ISENSE, Latching, UVLO 8.5V, VCLAMP 15V","eFuse","4.6","9.3","18","39","Over Current - Shutdown, Over Current - Current source, Over Voltage Protection, Fault Signal, UVLO, Adjustable Slew Rate, eFuse / Hot Plug","ADJ","WDFN-10","450","1:1","Standard","false","false","true","true","Active"
"89","NIS5420","https://www.onsemi.com/download/data-sheet/pdf/NIS5420-D.PDF","NIS5420MT3TXG","0.67","Electronic fuse (eFuse), 12V, 44 mΩ, 4A, ISENSE, Latching, UVLO 8.5V","eFuse","4.6","9.3","18","39","Over Current - Shutdown, Over Current - Current source, Fault Signal, UVLO, Adjustable Slew Rate, eFuse / Hot Plug","ADJ","WDFN-10","450","1:1","Standard","false","false","true","true","Active"
